iter	Passed	Remaining
0	146	146779
1	147	73662
2	148	49253
3	148	37044
4	149	29725
5	149	24837
6	150	21368
7	151	18765
8	151	16723
9	152	15097
10	153	13762
11	153	12648
12	154	11710
13	154	10892
14	155	10181
15	155	9579
16	156	9040
17	156	8558
18	157	8134
19	158	7751
20	158	7402
21	159	7082
22	159	6792
23	160	6525
24	161	6285
25	161	6059
26	162	5849
27	162	5654
28	163	5476
29	164	5308
30	164	5149
31	165	4998
32	165	4858
33	166	4726
34	166	4603
35	167	4485
36	168	4373
37	168	4267
38	169	4167
39	169	4075
40	170	3984
41	171	3901
42	171	3818
43	172	3739
44	172	3662
45	173	3589
46	173	3518
47	174	3452
48	174	3391
49	175	3332
50	175	3274
51	176	3217
52	176	3161
53	177	3109
54	177	3057
55	178	3008
56	178	2961
57	179	2915
58	180	2870
59	180	2829
60	181	2789
61	181	2750
62	182	2711
63	182	2672
64	183	2636
65	183	2600
66	184	2566
67	184	2528
68	184	2495
69	185	2463
70	185	2432
71	186	2402
72	186	2374
73	187	2346
74	188	2319
75	188	2293
76	189	2266
77	189	2241
78	190	2217
79	190	2192
80	191	2169
81	191	2145
82	192	2122
83	192	2101
84	193	2078
85	193	2057
86	193	2035
87	194	2015
88	194	1995
89	195	1977
90	196	1958
91	196	1940
92	197	1921
93	197	1903
94	197	1886
95	198	1869
96	199	1853
97	199	1836
98	200	1820
99	200	1805
100	201	1789
101	201	1772
102	201	1757
103	202	1743
104	202	1728
105	203	1714
106	203	1700
107	204	1687
108	204	1673
109	205	1660
110	205	1647
111	206	1634
112	206	1621
113	207	1609
114	207	1597
115	207	1584
116	208	1572
117	208	1561
118	209	1549
119	209	1539
120	210	1528
121	210	1517
122	211	1505
123	211	1495
124	212	1486
125	212	1476
126	213	1466
127	213	1456
128	214	1446
129	214	1437
130	215	1428
131	215	1420
132	216	1411
133	216	1402
134	217	1393
135	218	1385
136	218	1377
137	219	1368
138	219	1360
139	220	1352
140	220	1344
141	221	1336
142	221	1328
143	222	1321
144	222	1313
145	223	1306
146	223	1298
147	224	1290
148	224	1284
149	225	1277
150	225	1269
151	226	1262
152	226	1255
153	227	1248
154	227	1241
155	228	1234
156	228	1228
157	229	1221
158	229	1215
159	230	1209
160	230	1203
161	231	1197
162	232	1191
163	232	1185
164	233	1179
165	233	1174
166	234	1168
167	234	1163
168	235	1158
169	236	1152
170	236	1147
171	237	1141
172	237	1136
173	238	1130
174	238	1125
175	239	1120
176	239	1114
177	240	1109
178	240	1104
179	241	1099
180	241	1093
181	242	1087
182	242	1083
183	243	1077
184	243	1073
185	244	1069
186	244	1064
187	245	1060
188	245	1055
189	246	1050
190	246	1046
191	247	1041
192	247	1036
193	248	1032
194	248	1027
195	249	1023
196	250	1019
197	250	1015
198	251	1010
199	251	1006
200	252	1002
201	252	998
202	253	993
203	253	989
204	254	985
205	254	982
206	255	978
207	255	974
208	256	970
209	256	966
210	257	963
211	258	959
212	258	955
213	259	951
214	259	947
215	260	944
216	260	940
217	261	937
218	261	933
219	262	930
220	262	926
221	263	922
222	263	919
223	264	915
224	264	912
225	265	908
226	265	905
227	266	902
228	266	898
229	267	895
230	267	891
231	268	888
232	268	885
233	269	882
234	270	879
235	270	875
236	271	872
237	271	869
238	272	866
239	272	863
240	273	860
241	273	857
242	274	854
243	274	851
244	275	848
245	275	845
246	276	843
247	277	840
248	277	837
249	278	834
250	278	831
251	279	828
252	279	825
253	280	822
254	280	819
255	281	816
256	281	814
257	282	811
258	282	808
259	283	805
260	283	802
261	284	800
262	284	797
263	285	794
264	285	792
265	286	790
266	286	787
267	287	784
268	287	781
269	288	779
270	288	776
271	289	774
272	289	771
273	290	768
274	290	766
275	291	763
276	291	761
277	292	758
278	292	756
279	293	753
280	293	751
281	294	748
282	294	746
283	294	743
