iter	Passed	Remaining
0	138	138251
1	139	69538
2	139	46526
3	141	35227
4	142	28284
5	142	23635
6	143	20349
7	144	17908
8	145	15985
9	146	14493
10	147	13231
11	147	12181
12	148	11272
13	149	10494
14	149	9833
15	150	9248
16	151	8738
17	151	8292
18	152	7876
19	153	7504
20	153	7167
21	154	6863
22	155	6604
23	156	6355
24	157	6133
25	158	5925
26	158	5720
27	159	5532
28	160	5357
29	160	5194
30	161	5047
31	162	4906
32	163	4778
33	163	4655
34	164	4537
35	165	4422
36	165	4311
37	166	4214
38	167	4118
39	168	4034
40	168	3949
41	169	3870
42	170	3792
43	171	3715
44	171	3641
45	172	3573
46	172	3507
47	173	3446
48	174	3386
49	175	3330
50	175	3274
51	176	3218
52	177	3164
53	177	3114
54	178	3072
55	180	3034
56	180	2991
57	181	2947
58	182	2904
59	182	2861
60	183	2821
61	183	2783
62	184	2745
63	185	2708
64	185	2673
65	186	2638
66	187	2614
67	188	2585
68	189	2553
69	189	2522
70	190	2493
71	191	2464
72	191	2437
73	192	2409
74	193	2385
75	194	2359
76	194	2335
77	195	2310
78	196	2285
79	197	2271
80	198	2251
81	199	2231
82	199	2206
83	200	2186
84	201	2165
85	201	2143
86	202	2121
87	202	2101
88	203	2083
89	204	2066
90	204	2047
91	205	2028
92	206	2009
93	206	1991
94	207	1974
95	207	1956
96	208	1939
97	208	1923
98	210	1913
99	210	1898
100	211	1883
101	212	1869
102	212	1854
103	213	1838
104	214	1824
105	214	1809
106	215	1796
107	215	1782
108	216	1769
109	217	1756
110	217	1742
111	218	1729
112	218	1716
113	219	1703
114	219	1691
115	220	1678
116	220	1665
117	221	1654
118	221	1643
119	222	1632
120	223	1621
121	223	1609
122	224	1597
123	224	1586
124	225	1575
125	225	1565
126	226	1554
127	226	1543
128	226	1532
129	227	1523
130	228	1514
131	229	1505
132	230	1499
133	230	1491
134	231	1481
135	231	1472
136	232	1463
137	233	1455
138	233	1447
139	234	1439
140	235	1432
141	235	1423
142	236	1415
143	236	1407
144	237	1398
145	237	1390
146	238	1382
147	238	1374
148	239	1367
149	240	1360
150	240	1353
151	241	1347
152	242	1340
153	242	1333
154	243	1326
155	243	1319
156	244	1313
157	245	1306
158	245	1299
159	246	1292
160	246	1284
161	247	1278
162	247	1272
163	248	1266
164	248	1259
165	249	1254
166	250	1248
167	250	1242
168	251	1236
169	251	1230
170	252	1224
171	253	1219
172	253	1213
173	254	1208
174	255	1202
175	255	1196
176	256	1190
177	256	1185
178	257	1179
179	257	1174
180	258	1169
181	258	1163
182	259	1159
183	260	1154
184	260	1148
185	262	1146
186	262	1141
187	263	1136
188	263	1131
189	264	1126
190	264	1122
191	265	1117
192	266	1112
193	266	1108
194	267	1105
195	268	1100
196	268	1095
197	269	1091
198	269	1086
199	270	1081
200	271	1077
201	271	1073
202	272	1069
203	273	1065
204	273	1061
205	274	1056
206	274	1052
207	275	1048
208	275	1044
209	276	1040
210	277	1037
211	278	1034
212	279	1031
213	279	1027
214	280	1025
215	281	1021
216	282	1017
217	282	1013
218	283	1009
219	283	1005
220	284	1001
221	285	999
222	285	995
223	286	992
224	286	988
225	287	984
226	288	980
227	288	976
228	289	973
229	289	969
230	290	967
231	291	965
232	292	961
233	292	958
234	293	954
235	294	951
236	294	948
237	295	944
238	296	943
239	297	940
240	297	937
241	298	934
242	298	930
243	299	927
244	299	924
245	300	921
246	301	917
247	301	914
248	302	911
249	302	908
250	303	905
251	304	902
252	304	899
253	305	896
254	306	894
255	306	891
256	307	888
257	307	885
258	308	882
259	309	879
260	309	877
261	310	874
262	311	871
263	311	868
264	312	865
265	312	862
266	313	859
267	313	856
268	314	853
269	314	851
270	315	849
271	316	846
272	316	843
273	317	841
274	318	838
275	318	835
276	319	833
277	319	830
278	320	828
279	321	825
280	321	823
281	322	821
282	323	818
283	323	815
284	324	813
285	324	810
286	325	807
287	325	805
288	326	802
289	327	801
290	328	799
291	328	797
292	329	794
293	329	792
294	330	789
295	330	787
296	331	784
297	332	782
298	332	779
299	333	777
300	333	774
301	334	772
302	334	770
303	335	768
304	335	765
305	336	763
306	337	761
307	337	758
308	338	756
309	339	754
310	339	752
311	340	750
312	341	748
313	341	746
314	342	744
315	342	742
316	343	739
317	344	737
318	344	735
319	345	733
320	345	731
321	346	729
322	347	728
323	348	727
324	349	724
325	349	722
326	350	720
327	350	718
328	351	716
329	351	714
330	352	713
331	353	710
332	354	709
333	354	707
334	355	705
335	355	703
336	356	701
337	357	699
338	357	697
339	358	695
340	358	693
341	359	691
342	360	689
343	360	687
344	361	686
345	362	684
346	362	682
347	363	680
348	363	678
349	364	676
350	365	675
351	366	673
352	366	672
353	367	670
354	367	668
355	368	666
356	368	664
357	369	662
358	369	660
359	370	659
360	371	657
361	372	655
362	372	653
363	373	652
364	373	650
365	374	648
366	375	647
367	375	645
368	376	643
369	377	642
370	377	640
371	378	638
372	379	637
373	379	635
374	380	633
375	380	631
376	381	629
377	381	627
378	382	626
379	382	624
380	383	622
381	384	621
382	384	620
383	385	618
384	386	616
385	386	614
386	387	613
387	387	611
388	388	609
389	388	607
390	389	606
391	390	604
392	390	603
393	391	602
394	392	600
395	392	599
396	393	597
397	393	595
398	394	593
399	394	592
400	395	590
401	395	589
402	396	587
403	397	586
404	397	584
405	398	582
406	398	581
407	399	579
408	399	577
409	400	576
410	400	574
411	402	573
412	403	572
413	403	571
414	404	569
415	404	568
416	405	566
417	405	565
418	406	563
419	407	562
420	407	560
421	408	559
422	408	557
423	409	556
424	409	554
425	410	553
426	411	551
427	411	549
428	412	548
429	412	546
430	413	545
431	413	543
432	414	542
433	415	541
434	415	540
435	416	539
436	417	537
437	418	536
438	418	534
439	419	533
440	419	531
441	420	530
442	420	529
443	421	527
444	422	526
445	422	524
446	423	523
447	423	521
448	424	520
449	424	518
450	425	517
451	425	515
452	425	514
453	426	512
454	427	511
455	428	510
456	428	509
457	429	507
458	429	506
459	430	505
460	430	503
461	431	502
462	431	500
463	432	499
464	433	498
465	433	497
466	434	496
467	435	494
468	435	493
469	436	492
470	436	490
471	437	489
472	437	487
473	438	486
474	438	485
475	439	483
476	440	483
477	441	482
478	441	480
479	442	479
480	442	477
481	443	476
482	444	475
483	444	474
484	445	472
485	446	471
486	446	470
487	447	469
488	448	468
489	448	466
490	449	465
491	449	464
492	450	462
493	450	461
494	451	460
495	451	459
496	452	457
497	453	456
498	453	455
499	454	454
500	454	452
501	455	451
502	455	450
503	456	448
504	456	447
505	457	446
506	458	445
507	459	444
508	459	443
509	460	442
510	460	440
511	461	439
512	461	438
513	462	437
514	462	435
515	463	434
516	463	433
517	464	431
518	464	430
519	465	429
520	465	428
521	466	427
522	467	425
523	467	424
524	468	423
525	468	422
526	469	420
527	469	419
528	470	418
529	470	417
530	471	416
531	472	415
532	472	414
533	473	413
534	474	412
535	474	410
536	475	409
537	475	408
538	476	407
539	476	406
540	477	405
541	478	404
542	478	403
543	479	401
544	480	400
545	480	399
546	481	398
547	481	397
548	482	396
549	482	394
550	483	393
551	484	392
552	485	392
553	487	392
554	487	391
555	488	390
556	489	388
557	489	388
558	490	387
559	491	385
560	491	384
561	492	383
562	492	382
563	493	381
564	493	380
565	494	379
566	495	378
567	495	376
568	496	376
569	497	374
570	497	373
571	498	372
572	498	371
573	499	370
574	499	369
575	500	368
576	500	367
577	501	365
578	502	365
579	503	364
580	504	363
581	504	362
582	505	361
583	505	360
584	506	359
585	506	358
586	507	356
587	508	356
588	509	355
589	509	354
590	510	353
591	510	352
592	511	351
593	512	349
594	512	348
595	513	347
596	513	346
597	514	345
598	514	344
599	515	343
600	516	342
601	516	341
602	517	340
603	517	339
604	518	338
605	518	337
606	519	336
607	520	335
608	520	334
609	521	333
610	521	332
611	522	331
612	522	330
613	523	329
614	524	328
615	524	327
616	525	325
617	525	324
618	526	323
619	526	322
620	527	322
621	528	321
622	529	320
623	529	319
624	530	318
625	530	317
626	531	316
627	531	315
628	532	314
629	532	312
630	533	312
631	534	311
632	535	310
633	535	309
634	536	308
635	536	307
636	537	306
637	537	305
638	538	304
639	538	303
640	539	302
641	540	301
642	540	300
643	541	299
644	542	298
645	542	297
646	543	296
647	543	295
648	544	294
649	544	293
650	545	292
651	546	291
652	547	290
653	547	289
654	548	288
655	548	287
656	549	286
657	549	285
658	550	284
659	550	283
660	551	282
661	552	281
